chemical_compound,chemical_structure,classification,physical_properties,linked_sg_pollutant,year,classification_encoded_scaled,classification_encoded_scaled,physical_properties_encoded_scaled,linked_sg_pollutant_encoded_scaled,C_scaled,H_scaled,O_scaled,N_scaled,Cl_scaled,Br_scaled,S_scaled,carbon_chain_length_scaled,hydrogen_count_scaled,oxygen_count_scaled,halogen_count_scaled,is_halogenated_scaled,is_chlorinated_scaled,is_brominated_scaled,has_oxygen_scaled,CH_ratio_scaled,molecular_size_proxy_scaled,degree_of_unsaturation_scaled,compound_risk_index_scaled,compound_count_scaled,avg_carbon_chain_scaled,avg_halogen_count_scaled,pct_halogenated_scaled,pct_gas_phase_scaled,avg_mol_size_scaled,avg_unsaturation_scaled,sg_avg_concentration_scaled,sg_max_concentration_scaled,compound_density_per_unit_conc_scaled,pollution_composite_index_scaled,industry_pressure_index_scaled,vehicle_norm_scaled,env_pressure_score_scaled,year_index_scaled,pm10_scaled,pm25_scaled,chemical_manufacturing_scaled,electronics_mfg_scaled,vehicle_population_scaled,hdb_construction_units_scaled,chain_vs_group_avg_scaled,size_vs_group_avg_scaled,unsat_vs_group_avg_scaled,halogen_x_concentration_scaled,chain_x_concentration_scaled,conc_vs_sg_avg_scaled,conc_vs_sg_max_pct_scaled,pollutant_concentration,classification_encoded,classification_encoded,is_env_relevant
methanoic acid,CH3COOH,carboxiyilic acid,liquid,nitrogen_dioxide,2013,0.375,0.375,0.5,0.3333333333333333,0.2,0.02564102564102564,0.5,0.0,0.0,0.0,0.0,0.2,0.02564102564102564,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.05,0.923076923076923,0.8483412322274881,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5335953781623447,0.5376597175521184,0.0037731889781705344,0.7500127133872098,0.8147745744769921,0.8872180451127818,0.8351521240075017,0.8333333333333333,0.8426966292134837,0.6086956521739131,0.8433734939759034,0.7881355932203395,0.8872180451127818,0.8508771929824563,0.19999999999999998,0.03809868579828429,0.0,0.0,0.10524590163934426,0.6938775510204082,0.8485074626865674,32.1,3,3,0
methanoic acid,CH3COOH,carboxiyilic acid,liquid,nitrogen_dioxide,2014,0.375,0.375,0.5,0.3333333333333333,0.2,0.02564102564102564,0.5,0.0,0.0,0.0,0.0,0.2,0.02564102564102564,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.05,0.923076923076923,0.8483412322274881,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5335953781623447,0.5376597175521184,0.0037731889781705344,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0000000000000009,1.0,1.0000000000000004,1.0,1.0,0.19999999999999998,0.03809868579828429,0.0,0.0,0.10983606557377049,0.8115246098439375,1.0,33.5,3,3,0
ethane,C2H6,flamable hydrocarbon,gas,carbon_monoxide,2008,0.625,0.625,0.0,0.0,0.2,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.2,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05,0.8974358974358974,0.8957345971563981,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.22231839926958358,0.13255213621512013,0.0,0.05104743044880827,0.0,0.31460674157303314,0.47826086956521596,0.07469879518072275,0.1864406779661021,0.0,0.12280701754385959,0.19311517212069695,0.07695535745577586,0.02777777777777778,0.0,0.0041639344262295085,0.531332533013205,0.40378289473684204,1.27,5,5,1
ethane,C2H6,flamable hydrocarbon,gas,carbon_monoxide,2009,0.625,0.625,0.0,0.0,0.2,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.2,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05,0.8974358974358974,0.8957345971563981,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.09774436090225563,0.0,0.16666666666666666,0.0,0.47826086956521596,0.0,0.0,0.09774436090225525,0.0,0.19311517212069695,0.07695535745577586,0.02777777777777778,0.0,0.0038688524590163934,0.523769507803121,0.1891447368421053,1.18,5,5,1
ethane,C2H6,flamable hydrocarbon,gas,carbon_monoxide,2010,0.625,0.625,0.0,0.0,0.2,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.2,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05,0.8974358974358974,0.8957345971563981,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.40700558649766644,0.4606905175554312,0.3609022556390977,0.40350052074905823,0.3333333333333333,0.5168539325842691,0.47826086956521596,0.44578313253012025,0.47457627118644075,0.3609022556390977,0.41228070175438614,0.19311517212069695,0.07695535745577586,0.02777777777777778,0.0,0.004327868852459017,0.5355342136854739,0.5230263157894739,1.32,5,5,1
ethane,C2H6,flamable hydrocarbon,gas,carbon_monoxide,2011,0.625,0.625,0.0,0.0,0.2,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.2,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05,0.8974358974358974,0.8957345971563981,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5673311594032595,0.6691573463189942,0.6015037593984961,0.6316595321620414,0.5,0.707865168539326,0.3043478260869561,0.6506024096385543,0.6864406779661016,0.6015037593984962,0.7280701754385968,0.19311517212069695,0.07695535745577586,0.02777777777777778,0.0,0.004622950819672131,0.5430972388955579,0.7376644736842102,1.41,5,5,1
ethane,C2H6,flamable hydrocarbon,gas,carbon_monoxide,2012,0.625,0.625,0.0,0.0,0.2,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.2,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05,0.8974358974358974,0.8957345971563981,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.41586777404951636,0.5438166030123935,0.7744360902255638,0.6135797030319788,0.6666666666666666,0.5730337078651684,0.0,0.5180722891566263,0.5677966101694918,0.7744360902255636,0.6228070175438596,0.19311517212069695,0.07695535745577586,0.02777777777777778,0.0,0.004524590163934426,0.5405762304921966,0.6661184210526314,1.38,5,5,1
ethane,C2H6,flamable hydrocarbon,gas,carbon_monoxide,2013,0.625,0.625,0.0,0.0,0.2,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.2,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05,0.8974358974358974,0.8957345971563981,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7500127133872098,0.8147745744769921,0.8872180451127818,0.8351521240075017,0.8333333333333333,0.8426966292134837,0.6086956521739131,0.8433734939759034,0.7881355932203395,0.8872180451127818,0.8508771929824563,0.19311517212069695,0.07695535745577586,0.02777777777777778,0.0,0.004754098360655738,0.5464585834333732,0.8330592105263155,1.45,5,5,1
ethane,C2H6,flamable hydrocarbon,gas,carbon_monoxide,2014,0.625,0.625,0.0,0.0,0.2,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.2,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.05,0.8974358974358974,0.8957345971563981,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0000000000000009,1.0,1.0000000000000004,1.0,1.0,0.19311517212069695,0.07695535745577586,0.02777777777777778,0.0,0.004983606557377049,0.5523409363745496,1.0,1.52,5,5,1
ethene,C2H4,flamable hydrocarbon,gas,carbon_monoxide,2008,0.625,0.625,0.0,0.0,0.2,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.2,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.02500000000000001,0.923076923076923,0.9194312796208531,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.22231839926958358,0.13255213621512013,0.0,0.05104743044880827,0.0,0.31460674157303314,0.47826086956521596,0.07469879518072275,0.1864406779661021,0.0,0.12280701754385959,0.19311517212069695,0.04192799706241046,0.07503770739064858,0.0,0.0041639344262295085,0.531332533013205,0.40378289473684204,1.27,5,5,1
ethene,C2H4,flamable hydrocarbon,gas,carbon_monoxide,2009,0.625,0.625,0.0,0.0,0.2,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.2,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.02500000000000001,0.923076923076923,0.9194312796208531,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.09774436090225563,0.0,0.16666666666666666,0.0,0.47826086956521596,0.0,0.0,0.09774436090225525,0.0,0.19311517212069695,0.04192799706241046,0.07503770739064858,0.0,0.0038688524590163934,0.523769507803121,0.1891447368421053,1.18,5,5,1
ethene,C2H4,flamable hydrocarbon,gas,carbon_monoxide,2010,0.625,0.625,0.0,0.0,0.2,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.2,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.02500000000000001,0.923076923076923,0.9194312796208531,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.40700558649766644,0.4606905175554312,0.3609022556390977,0.40350052074905823,0.3333333333333333,0.5168539325842691,0.47826086956521596,0.44578313253012025,0.47457627118644075,0.3609022556390977,0.41228070175438614,0.19311517212069695,0.04192799706241046,0.07503770739064858,0.0,0.004327868852459017,0.5355342136854739,0.5230263157894739,1.32,5,5,1
ethene,C2H4,flamable hydrocarbon,gas,carbon_monoxide,2011,0.625,0.625,0.0,0.0,0.2,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.2,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.02500000000000001,0.923076923076923,0.9194312796208531,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5673311594032595,0.6691573463189942,0.6015037593984961,0.6316595321620414,0.5,0.707865168539326,0.3043478260869561,0.6506024096385543,0.6864406779661016,0.6015037593984962,0.7280701754385968,0.19311517212069695,0.04192799706241046,0.07503770739064858,0.0,0.004622950819672131,0.5430972388955579,0.7376644736842102,1.41,5,5,1
ethene,C2H4,flamable hydrocarbon,gas,carbon_monoxide,2012,0.625,0.625,0.0,0.0,0.2,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.2,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.02500000000000001,0.923076923076923,0.9194312796208531,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.41586777404951636,0.5438166030123935,0.7744360902255638,0.6135797030319788,0.6666666666666666,0.5730337078651684,0.0,0.5180722891566263,0.5677966101694918,0.7744360902255636,0.6228070175438596,0.19311517212069695,0.04192799706241046,0.07503770739064858,0.0,0.004524590163934426,0.5405762304921966,0.6661184210526314,1.38,5,5,1
ethene,C2H4,flamable hydrocarbon,gas,carbon_monoxide,2013,0.625,0.625,0.0,0.0,0.2,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.2,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.02500000000000001,0.923076923076923,0.9194312796208531,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7500127133872098,0.8147745744769921,0.8872180451127818,0.8351521240075017,0.8333333333333333,0.8426966292134837,0.6086956521739131,0.8433734939759034,0.7881355932203395,0.8872180451127818,0.8508771929824563,0.19311517212069695,0.04192799706241046,0.07503770739064858,0.0,0.004754098360655738,0.5464585834333732,0.8330592105263155,1.45,5,5,1
ethene,C2H4,flamable hydrocarbon,gas,carbon_monoxide,2014,0.625,0.625,0.0,0.0,0.2,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.2,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.02500000000000001,0.923076923076923,0.9194312796208531,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0000000000000009,1.0,1.0000000000000004,1.0,1.0,0.19311517212069695,0.04192799706241046,0.07503770739064858,0.0,0.004983606557377049,0.5523409363745496,1.0,1.52,5,5,1
ethyne,C2H2,flamable hydrocarbon,gas,carbon_monoxide,2008,0.625,0.625,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9487179487179487,0.9431279620853081,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.22231839926958358,0.13255213621512013,0.0,0.05104743044880827,0.0,0.31460674157303314,0.47826086956521596,0.07469879518072275,0.1864406779661021,0.0,0.12280701754385959,0.19311517212069695,0.006900636669045043,0.12229763700351937,0.0,0.0041639344262295085,0.531332533013205,0.40378289473684204,1.27,5,5,1
ethyne,C2H2,flamable hydrocarbon,gas,carbon_monoxide,2009,0.625,0.625,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9487179487179487,0.9431279620853081,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.09774436090225563,0.0,0.16666666666666666,0.0,0.47826086956521596,0.0,0.0,0.09774436090225525,0.0,0.19311517212069695,0.006900636669045043,0.12229763700351937,0.0,0.0038688524590163934,0.523769507803121,0.1891447368421053,1.18,5,5,1
ethyne,C2H2,flamable hydrocarbon,gas,carbon_monoxide,2010,0.625,0.625,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9487179487179487,0.9431279620853081,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.40700558649766644,0.4606905175554312,0.3609022556390977,0.40350052074905823,0.3333333333333333,0.5168539325842691,0.47826086956521596,0.44578313253012025,0.47457627118644075,0.3609022556390977,0.41228070175438614,0.19311517212069695,0.006900636669045043,0.12229763700351937,0.0,0.004327868852459017,0.5355342136854739,0.5230263157894739,1.32,5,5,1
ethyne,C2H2,flamable hydrocarbon,gas,carbon_monoxide,2011,0.625,0.625,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9487179487179487,0.9431279620853081,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5673311594032595,0.6691573463189942,0.6015037593984961,0.6316595321620414,0.5,0.707865168539326,0.3043478260869561,0.6506024096385543,0.6864406779661016,0.6015037593984962,0.7280701754385968,0.19311517212069695,0.006900636669045043,0.12229763700351937,0.0,0.004622950819672131,0.5430972388955579,0.7376644736842102,1.41,5,5,1
ethyne,C2H2,flamable hydrocarbon,gas,carbon_monoxide,2012,0.625,0.625,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9487179487179487,0.9431279620853081,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.41586777404951636,0.5438166030123935,0.7744360902255638,0.6135797030319788,0.6666666666666666,0.5730337078651684,0.0,0.5180722891566263,0.5677966101694918,0.7744360902255636,0.6228070175438596,0.19311517212069695,0.006900636669045043,0.12229763700351937,0.0,0.004524590163934426,0.5405762304921966,0.6661184210526314,1.38,5,5,1
ethyne,C2H2,flamable hydrocarbon,gas,carbon_monoxide,2013,0.625,0.625,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9487179487179487,0.9431279620853081,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7500127133872098,0.8147745744769921,0.8872180451127818,0.8351521240075017,0.8333333333333333,0.8426966292134837,0.6086956521739131,0.8433734939759034,0.7881355932203395,0.8872180451127818,0.8508771929824563,0.19311517212069695,0.006900636669045043,0.12229763700351937,0.0,0.004754098360655738,0.5464585834333732,0.8330592105263155,1.45,5,5,1
ethyne,C2H2,flamable hydrocarbon,gas,carbon_monoxide,2014,0.625,0.625,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9487179487179487,0.9431279620853081,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0000000000000009,1.0,1.0000000000000004,1.0,1.0,0.19311517212069695,0.006900636669045043,0.12229763700351937,0.0,0.004983606557377049,0.5523409363745496,1.0,1.52,5,5,1
propane,C3H8,flamable hydrocarbon,gas,carbon_monoxide,2008,0.625,0.625,0.0,0.0,0.30000000000000004,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.08750000000000001,0.8974358974358974,0.8981042654028436,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.22231839926958358,0.13255213621512013,0.0,0.05104743044880827,0.0,0.31460674157303314,0.47826086956521596,0.07469879518072275,0.1864406779661021,0.0,0.12280701754385959,0.28967275818104543,0.12949639804582397,0.02777777777777778,0.0,0.006245901639344262,0.531332533013205,0.40378289473684204,1.27,5,5,1
propane,C3H8,flamable hydrocarbon,gas,carbon_monoxide,2009,0.625,0.625,0.0,0.0,0.30000000000000004,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.08750000000000001,0.8974358974358974,0.8981042654028436,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.09774436090225563,0.0,0.16666666666666666,0.0,0.47826086956521596,0.0,0.0,0.09774436090225525,0.0,0.28967275818104543,0.12949639804582397,0.02777777777777778,0.0,0.00580327868852459,0.523769507803121,0.1891447368421053,1.18,5,5,1
propane,C3H8,flamable hydrocarbon,gas,carbon_monoxide,2010,0.625,0.625,0.0,0.0,0.30000000000000004,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.08750000000000001,0.8974358974358974,0.8981042654028436,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.40700558649766644,0.4606905175554312,0.3609022556390977,0.40350052074905823,0.3333333333333333,0.5168539325842691,0.47826086956521596,0.44578313253012025,0.47457627118644075,0.3609022556390977,0.41228070175438614,0.28967275818104543,0.12949639804582397,0.02777777777777778,0.0,0.0064918032786885245,0.5355342136854739,0.5230263157894739,1.32,5,5,1
propane,C3H8,flamable hydrocarbon,gas,carbon_monoxide,2011,0.625,0.625,0.0,0.0,0.30000000000000004,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.08750000000000001,0.8974358974358974,0.8981042654028436,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5673311594032595,0.6691573463189942,0.6015037593984961,0.6316595321620414,0.5,0.707865168539326,0.3043478260869561,0.6506024096385543,0.6864406779661016,0.6015037593984962,0.7280701754385968,0.28967275818104543,0.12949639804582397,0.02777777777777778,0.0,0.006934426229508196,0.5430972388955579,0.7376644736842102,1.41,5,5,1
propane,C3H8,flamable hydrocarbon,gas,carbon_monoxide,2012,0.625,0.625,0.0,0.0,0.30000000000000004,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.08750000000000001,0.8974358974358974,0.8981042654028436,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.41586777404951636,0.5438166030123935,0.7744360902255638,0.6135797030319788,0.6666666666666666,0.5730337078651684,0.0,0.5180722891566263,0.5677966101694918,0.7744360902255636,0.6228070175438596,0.28967275818104543,0.12949639804582397,0.02777777777777778,0.0,0.006786885245901639,0.5405762304921966,0.6661184210526314,1.38,5,5,1
propane,C3H8,flamable hydrocarbon,gas,carbon_monoxide,2013,0.625,0.625,0.0,0.0,0.30000000000000004,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.08750000000000001,0.8974358974358974,0.8981042654028436,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7500127133872098,0.8147745744769921,0.8872180451127818,0.8351521240075017,0.8333333333333333,0.8426966292134837,0.6086956521739131,0.8433734939759034,0.7881355932203395,0.8872180451127818,0.8508771929824563,0.28967275818104543,0.12949639804582397,0.02777777777777778,0.0,0.007131147540983606,0.5464585834333732,0.8330592105263155,1.45,5,5,1
propane,C3H8,flamable hydrocarbon,gas,carbon_monoxide,2014,0.625,0.625,0.0,0.0,0.30000000000000004,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.08750000000000001,0.8974358974358974,0.8981042654028436,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0000000000000009,1.0,1.0000000000000004,1.0,1.0,0.28967275818104543,0.12949639804582397,0.02777777777777778,0.0,0.007475409836065575,0.5523409363745496,1.0,1.52,5,5,1
propene,C3H6,flamable hydrocarbon,gas,carbon_monoxide,2008,0.625,0.625,0.0,0.0,0.30000000000000004,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0625,0.923076923076923,0.9218009478672986,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.22231839926958358,0.13255213621512013,0.0,0.05104743044880827,0.0,0.31460674157303314,0.47826086956521596,0.07469879518072275,0.1864406779661021,0.0,0.12280701754385959,0.28967275818104543,0.09446903765245857,0.07503770739064858,0.0,0.006245901639344262,0.531332533013205,0.40378289473684204,1.27,5,5,1
propene,C3H6,flamable hydrocarbon,gas,carbon_monoxide,2009,0.625,0.625,0.0,0.0,0.30000000000000004,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0625,0.923076923076923,0.9218009478672986,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.09774436090225563,0.0,0.16666666666666666,0.0,0.47826086956521596,0.0,0.0,0.09774436090225525,0.0,0.28967275818104543,0.09446903765245857,0.07503770739064858,0.0,0.00580327868852459,0.523769507803121,0.1891447368421053,1.18,5,5,1
propene,C3H6,flamable hydrocarbon,gas,carbon_monoxide,2010,0.625,0.625,0.0,0.0,0.30000000000000004,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0625,0.923076923076923,0.9218009478672986,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.40700558649766644,0.4606905175554312,0.3609022556390977,0.40350052074905823,0.3333333333333333,0.5168539325842691,0.47826086956521596,0.44578313253012025,0.47457627118644075,0.3609022556390977,0.41228070175438614,0.28967275818104543,0.09446903765245857,0.07503770739064858,0.0,0.0064918032786885245,0.5355342136854739,0.5230263157894739,1.32,5,5,1
propene,C3H6,flamable hydrocarbon,gas,carbon_monoxide,2011,0.625,0.625,0.0,0.0,0.30000000000000004,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0625,0.923076923076923,0.9218009478672986,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5673311594032595,0.6691573463189942,0.6015037593984961,0.6316595321620414,0.5,0.707865168539326,0.3043478260869561,0.6506024096385543,0.6864406779661016,0.6015037593984962,0.7280701754385968,0.28967275818104543,0.09446903765245857,0.07503770739064858,0.0,0.006934426229508196,0.5430972388955579,0.7376644736842102,1.41,5,5,1
propene,C3H6,flamable hydrocarbon,gas,carbon_monoxide,2012,0.625,0.625,0.0,0.0,0.30000000000000004,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0625,0.923076923076923,0.9218009478672986,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.41586777404951636,0.5438166030123935,0.7744360902255638,0.6135797030319788,0.6666666666666666,0.5730337078651684,0.0,0.5180722891566263,0.5677966101694918,0.7744360902255636,0.6228070175438596,0.28967275818104543,0.09446903765245857,0.07503770739064858,0.0,0.006786885245901639,0.5405762304921966,0.6661184210526314,1.38,5,5,1
propene,C3H6,flamable hydrocarbon,gas,carbon_monoxide,2013,0.625,0.625,0.0,0.0,0.30000000000000004,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0625,0.923076923076923,0.9218009478672986,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7500127133872098,0.8147745744769921,0.8872180451127818,0.8351521240075017,0.8333333333333333,0.8426966292134837,0.6086956521739131,0.8433734939759034,0.7881355932203395,0.8872180451127818,0.8508771929824563,0.28967275818104543,0.09446903765245857,0.07503770739064858,0.0,0.007131147540983606,0.5464585834333732,0.8330592105263155,1.45,5,5,1
propene,C3H6,flamable hydrocarbon,gas,carbon_monoxide,2014,0.625,0.625,0.0,0.0,0.30000000000000004,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.05128205128205129,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0625,0.923076923076923,0.9218009478672986,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000004,1.0000000000000009,1.0,1.0000000000000004,1.0,1.0,0.28967275818104543,0.09446903765245857,0.07503770739064858,0.0,0.007475409836065575,0.5523409363745496,1.0,1.52,5,5,1
propyne,C3H4,flamable hydrocarbon,gas,carbon_monoxide,2008,0.625,0.625,0.0,0.0,0.30000000000000004,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.037500000000000006,0.9487179487179487,0.9454976303317536,1.0,0.41472457627118686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.22231839926958358,0.13255213621512013,0.0,0.05104743044880827,0.0,0.31460674157303314,0.47826086956521596,0.07469879518072275,0.1864406779661021,0.0,0.12280701754385959,0.28967275818104543,0.059441677259093176,0.12229763700351937,0.0,0.006245901639344262,0.531332533013205,0.40378289473684204,1.27,5,5,1
